id,type,isObscene,isAbstract,text
300,prefix,FALSE,FALSE,Щупо
301,prefix,FALSE,FALSE,Щипо
302,prefix,TRUE,FALSE,Стерво
303,prefix,FALSE,FALSE,Тошно
304,prefix,TRUE,FALSE,Шмаро
305,prefix,FALSE,FALSE,Хряще
306,prefix,FALSE,FALSE,Смерче
307,prefix,FALSE,FALSE,Бруто
308,prefix,FALSE,FALSE,Плито
309,prefix,FALSE,FALSE,Стыдо
310,prefix,FALSE,FALSE,Жутко
311,prefix,FALSE,FALSE,Мрачно
312,prefix,FALSE,FALSE,Кремне
313,prefix,TRUE,FALSE,Лобко
314,prefix,FALSE,FALSE,Шприце
315,prefix,FALSE,FALSE,Игло
316,prefix,TRUE,FALSE,Быдло
317,prefix,FALSE,FALSE,Сыпо
318,prefix,FALSE,FALSE,Искро
319,prefix,FALSE,FALSE,Жмото
320,prefix,FALSE,FALSE,Дыбо
321,prefix,FALSE,FALSE,Копче
322,prefix,TRUE,FALSE,Мразе
323,prefix,FALSE,FALSE,Хитро
324,prefix,FALSE,FALSE,Мелко
325,prefix,FALSE,FALSE,Крупно
326,prefix,FALSE,FALSE,Морще
327,prefix,FALSE,FALSE,Желче
328,prefix,FALSE,FALSE,Мухо
329,prefix,FALSE,FALSE,Жабо
330,prefix,FALSE,FALSE,Берсо
331,prefix,TRUE,FALSE,Кало
332,prefix,FALSE,TRUE,Драк
333,prefix,FALSE,TRUE,Эбо
334,prefix,FALSE,TRUE,Крео
335,prefix,FALSE,TRUE,Эсто
336,prefix,FALSE,TRUE,Мико
337,prefix,FALSE,TRUE,Зе
338,prefix,FALSE,TRUE,Небо
339,prefix,FALSE,TRUE,Крип
340,prefix,FALSE,TRUE,Фей
341,prefix,FALSE,TRUE,Эн
342,prefix,FALSE,TRUE,Рама
343,prefix,FALSE,TRUE,Отто
344,prefix,FALSE,TRUE,Ну
345,prefix,FALSE,TRUE,Ише
346,prefix,FALSE,TRUE,Гро
347,prefix,FALSE,TRUE,Ксель
348,prefix,FALSE,TRUE,Шебо
349,prefix,FALSE,TRUE,Улун
350,prefix,FALSE,TRUE,Кромо
351,prefix,FALSE,TRUE,Итро
352,suffix,FALSE,FALSE,мир
353,suffix,FALSE,FALSE,пуз
354,suffix,FALSE,FALSE,тряс
355,suffix,FALSE,FALSE,ступ
356,suffix,FALSE,FALSE,пак
357,suffix,FALSE,FALSE,грыз
358,suffix,FALSE,FALSE,нюх
359,suffix,FALSE,FALSE,лиз
360,suffix,FALSE,FALSE,голов
361,suffix,FALSE,FALSE,бород
362,suffix,FALSE,FALSE,ног
363,suffix,FALSE,FALSE,пряд
364,suffix,FALSE,FALSE,крад
365,suffix,FALSE,FALSE,стрел
366,suffix,FALSE,FALSE,меч
367,suffix,FALSE,FALSE,клык
368,suffix,FALSE,FALSE,цвет
369,suffix,FALSE,FALSE,щуп
370,suffix,FALSE,FALSE,суй
371,suffix,FALSE,FALSE,дар
372,suffix,FALSE,FALSE,жуй
373,suffix,TRUE,FALSE,трах
374,suffix,FALSE,FALSE,жим
375,suffix,FALSE,FALSE,лёт
376,suffix,FALSE,FALSE,кат
377,suffix,FALSE,FALSE,дыр
378,suffix,FALSE,FALSE,свет
379,suffix,FALSE,FALSE,злоб
380,suffix,FALSE,FALSE,стриг
381,suffix,TRUE,FALSE,пук
382,suffix,FALSE,FALSE,поп
383,suffix,TRUE,FALSE,срак
384,suffix,FALSE,FALSE,ух
385,suffix,FALSE,FALSE,нос
386,suffix,FALSE,FALSE,зноб
387,suffix,TRUE,FALSE,срач
388,suffix,FALSE,FALSE,маз
389,suffix,FALSE,FALSE,кол
390,suffix,FALSE,FALSE,пыр
391,suffix,FALSE,FALSE,стук
392,suffix,FALSE,FALSE,спин
393,suffix,FALSE,FALSE,трюк
394,suffix,FALSE,FALSE,твор
395,suffix,FALSE,FALSE,пар
396,suffix,FALSE,FALSE,бес
397,suffix,FALSE,FALSE,шест
398,suffix,FALSE,FALSE,пыт
399,suffix,FALSE,FALSE,хряк
400,suffix,FALSE,FALSE,свин
401,suffix,FALSE,FALSE,коп
402,suffix,FALSE,FALSE,треск
403,suffix,FALSE,FALSE,смех
404,suffix,FALSE,FALSE,плюй
405,suffix,FALSE,FALSE,дым
406,suffix,FALSE,FALSE,серд
407,suffix,FALSE,FALSE,навт
408,suffix,FALSE,FALSE,лов
409,suffix,FALSE,FALSE,волос
410,suffix,FALSE,FALSE,брюх
411,suffix,FALSE,FALSE,пад
412,suffix,FALSE,FALSE,трон
413,suffix,FALSE,FALSE,шлёп
414,suffix,FALSE,FALSE,дав
415,suffix,FALSE,FALSE,чпок
416,suffix,FALSE,FALSE,яд
417,suffix,FALSE,FALSE,плащ
418,suffix,FALSE,FALSE,бард
419,suffix,FALSE,FALSE,тень
420,suffix,FALSE,FALSE,пых
421,suffix,FALSE,FALSE,лап
422,suffix,FALSE,FALSE,фыр
423,suffix,FALSE,FALSE,тряп
424,suffix,FALSE,FALSE,звон
425,suffix,FALSE,FALSE,мол
426,suffix,FALSE,FALSE,глаз
427,suffix,FALSE,FALSE,бров
428,suffix,FALSE,FALSE,лик
429,suffix,FALSE,FALSE,лиц
430,suffix,TRUE,FALSE,сись
431,suffix,FALSE,FALSE,клоп
432,suffix,FALSE,FALSE,кус
433,suffix,FALSE,FALSE,свист
434,suffix,FALSE,FALSE,трог
435,suffix,FALSE,FALSE,топ
436,suffix,FALSE,FALSE,лей
437,suffix,FALSE,FALSE,брей
438,suffix,FALSE,FALSE,бот
439,suffix,FALSE,FALSE,крут
440,suffix,FALSE,FALSE,вёрт
441,suffix,FALSE,FALSE,струй
442,suffix,FALSE,FALSE,ус
443,suffix,FALSE,FALSE,рык
444,suffix,FALSE,FALSE,пас
445,suffix,FALSE,FALSE,трат
446,suffix,FALSE,FALSE,зев
447,suffix,FALSE,FALSE,лёж
448,suffix,FALSE,FALSE,крат
449,suffix,FALSE,FALSE,тел
450,suffix,FALSE,FALSE,скрип
